student_id,name,dob,gender,age,program,Parent Email
ST1000,Student_0,2003-02-01,0,24,BTech,parent1@example.com
ST1001,Student_1,2012-02-26,1,22,BTech,parent2@example.com
ST1002,Student_2,2009-10-05,1,21,BSc,parent3@example.com
ST1003,Student_3,2010-01-19,0,18,BSc,parent4@example.com
ST1004,Student_4,2007-09-29,0,25,BSc,parent5@example.com
ST1005,Student_5,2008-04-27,1,21,BTech,parent6@example.com
ST1006,Student_6,2005-06-18,0,18,MSc,parent7@example.com
ST1007,Student_7,2006-08-26,0,17,BTech,parent8@example.com
ST1008,Student_8,2010-11-06,0,19,BTech,parent9@example.com
ST1009,Student_9,2013-05-10,1,24,BTech,parent10@example.com
ST1010,Student_10,2008-03-26,1,27,Diploma,parent11@example.com
ST1011,Student_11,2009-06-20,0,22,BSc,parent12@example.com
ST1012,Student_12,2011-10-22,1,24,BSc,parent13@example.com
ST1013,Student_13,2006-03-31,1,18,MSc,parent14@example.com
ST1014,Student_14,2010-08-25,0,27,BSc,parent15@example.com
ST1015,Student_15,2012-02-14,1,26,Diploma,parent16@example.com
ST1016,Student_16,2008-02-18,1,18,BSc,parent17@example.com
ST1017,Student_17,2010-08-17,0,18,Diploma,parent18@example.com
ST1018,Student_18,2012-04-09,1,17,BSc,parent19@example.com
ST1019,Student_19,2010-10-11,0,19,Diploma,parent20@example.com
ST1020,Student_20,2005-03-11,0,23,BSc,parent21@example.com
ST1021,Student_21,2006-02-22,0,26,Diploma,parent22@example.com
ST1022,Student_22,2008-11-27,0,17,BTech,parent23@example.com
ST1023,Student_23,2006-11-14,0,17,BSc,parent24@example.com
ST1024,Student_24,2007-08-11,0,23,Diploma,parent25@example.com
ST1025,Student_25,2006-12-05,0,23,BTech,parent26@example.com
ST1026,Student_26,2008-11-24,1,20,Diploma,parent27@example.com
ST1027,Student_27,2003-12-10,1,21,Diploma,parent28@example.com
ST1028,Student_28,2008-10-23,0,25,BSc,parent29@example.com
ST1029,Student_29,2008-05-22,0,20,MSc,parent30@example.com
ST1030,Student_30,2013-04-21,1,20,MSc,parent31@example.com
ST1031,Student_31,2005-07-31,1,26,MSc,parent32@example.com
ST1032,Student_32,2005-01-19,0,19,BTech,parent33@example.com
ST1033,Student_33,2011-06-21,0,22,BSc,parent34@example.com
ST1034,Student_34,2003-05-06,1,22,BTech,parent35@example.com
ST1035,Student_35,2003-05-26,1,24,Diploma,parent36@example.com
ST1036,Student_36,2008-10-18,1,19,BTech,parent37@example.com
