student_id,name,dob,gender,age,program
ST1000,Student_0,2003-02-01,0,24,BTech
ST1001,Student_1,2012-02-26,1,22,BTech
ST1002,Student_2,2009-10-05,1,21,BSc
ST1003,Student_3,2010-01-19,0,18,BSc
ST1004,Student_4,2007-09-29,0,25,BSc
ST1005,Student_5,2008-04-27,1,21,BTech
ST1006,Student_6,2005-06-18,0,18,MSc
ST1007,Student_7,2006-08-26,0,17,BTech
ST1008,Student_8,2010-11-06,0,19,BTech
ST1009,Student_9,2013-05-10,1,24,BTech
ST1010,Student_10,2008-03-26,1,27,Diploma
ST1011,Student_11,2009-06-20,0,22,BSc
ST1012,Student_12,2011-10-22,1,24,BSc
ST1013,Student_13,2006-03-31,1,18,MSc
ST1014,Student_14,2010-08-25,0,27,BSc
ST1015,Student_15,2012-02-14,1,26,Diploma
ST1016,Student_16,2008-02-18,1,18,BSc
ST1017,Student_17,2010-08-17,0,18,Diploma
ST1018,Student_18,2012-04-09,1,17,BSc
ST1019,Student_19,2010-10-11,0,19,Diploma
ST1020,Student_20,2005-03-11,0,23,BSc
ST1021,Student_21,2006-02-22,0,26,Diploma
ST1022,Student_22,2008-11-27,0,17,BTech
ST1023,Student_23,2006-11-14,0,17,BSc
ST1024,Student_24,2007-08-11,0,23,Diploma
ST1025,Student_25,2006-12-05,0,23,BTech
ST1026,Student_26,2008-11-24,1,20,Diploma
ST1027,Student_27,2003-12-10,1,21,Diploma
ST1028,Student_28,2008-10-23,0,25,BSc
ST1029,Student_29,2008-05-22,0,20,MSc
ST1030,Student_30,2013-04-21,1,20,MSc
ST1031,Student_31,2005-07-31,1,26,MSc
ST1032,Student_32,2005-01-19,0,19,BTech
ST1033,Student_33,2011-06-21,0,22,BSc
ST1034,Student_34,2003-05-06,1,22,BTech
ST1035,Student_35,2003-05-26,1,24,Diploma
ST1036,Student_36,2008-10-18,1,19,BTech
ST1037,Student_37,2011-04-20,1,25,Diploma
ST1038,Student_38,2013-07-04,1,19,Diploma
